age,occupation_type,income_range,urban_or_rural,credit_score,debt_to_income_ratio,premium_payment_delay_days,policy_lapse_count,annual_income,claim_amount,claim_amount_vs_income_ratio,total_previous_claims,high_value_claim_ratio,claim_frequency_last_3yrs,previous_claim_rejection_count,multi_policy_count,legal_dispute_count,previous_fraud_flag,identity_verification_score,document_mismatch_score,claim_submission_hour,geo_distance_from_registered_address,device_risk_score,IP_address_change_count,claim_submission_weekend_flag,fraud_label
59,salaried,low,urban,698,0.43,5,0,362293,332538,0.92,4,0.25,2.2,1,4,0,0,0.91,0.15,6,117.5,0.32,1,1,0
49,self_employed,medium,rural,646,0.43,10,0,782310,410452,0.52,1,0.15,1.1,1,2,0,0,1.0,0.47,8,29.2,0.11,0,0,0
35,retired,medium,urban,658,0.27,5,3,717265,158239,0.22,0,0.18,0.3,1,3,0,0,0.93,0.07,18,65.1,0.51,1,0,0
63,salaried,medium,rural,608,0.43,7,2,835923,52883,0.06,1,0.14,0.5,0,2,0,0,0.9,0.43,16,4.5,0.02,0,0,0
28,business,high,urban,599,0.05,3,1,1339282,120879,0.09,1,0.72,2.1,0,3,2,0,0.77,0.39,3,97.5,0.36,2,0,1
41,self_employed,low,urban,659,0.05,3,0,283690,412229,1.45,1,0.16,1.6,0,2,0,0,0.9,0.01,4,0.0,0.4,0,0,0
59,self_employed,high,urban,760,0.3,5,0,1243513,281191,0.23,1,0.24,2.1,0,2,0,0,0.78,0.0,17,95.0,0.56,1,0,0
39,self_employed,medium,urban,607,0.45,4,0,591988,210183,0.36,0,0.32,1.3,0,1,1,1,0.84,0.23,8,71.0,0.37,1,0,0
43,student,medium,urban,738,0.34,5,0,783949,310250,0.4,2,0.33,0.0,0,2,0,0,0.95,0.25,4,40.3,0.4,2,0,0
31,business,medium,rural,624,0.46,6,2,860967,126954,0.15,2,0.39,1.0,2,1,0,0,0.71,0.34,20,112.0,0.97,0,0,0
31,salaried,medium,urban,554,0.17,5,0,764619,142055,0.19,4,0.23,2.0,0,4,0,0,0.87,0.03,16,78.7,0.52,1,1,0
44,student,medium,urban,718,0.48,4,0,773003,96416,0.12,3,0.09,2.3,0,4,0,0,1.0,0.33,15,217.8,0.13,1,0,0
56,salaried,medium,urban,794,0.59,4,0,780731,441829,0.57,3,0.17,1.8,0,2,0,0,1.0,0.45,16,6.0,0.31,2,1,0
60,salaried,low,urban,620,0.25,7,0,354584,203462,0.57,3,0.17,1.7,0,2,1,0,0.71,0.21,14,42.3,0.53,0,0,0
44,self_employed,low,rural,570,0.47,3,1,364910,168432,0.46,1,0.29,1.9,0,2,0,0,0.87,0.71,0,50.7,0.16,5,0,1
23,self_employed,medium,urban,711,0.35,4,0,776828,207161,0.27,1,0.13,2.9,1,3,0,1,0.78,0.1,12,98.4,0.48,0,1,0
42,salaried,low,rural,615,0.42,6,1,370673,169877,0.46,4,0.27,1.2,0,3,0,0,1.0,0.28,22,46.6,0.0,0,0,0
22,retired,medium,urban,717,0.59,3,0,759026,78038,0.1,1,0.32,1.2,0,2,0,0,0.72,0.21,2,0.0,0.4,1,0,0
44,business,low,urban,760,0.4,4,2,319188,310252,0.97,2,0.09,1.8,0,3,0,0,0.93,0.07,4,0.0,0.28,0,0,1
64,self_employed,medium,urban,703,0.46,2,0,734583,5000,0.01,0,0.2,0.3,0,2,0,0,0.61,0.7,15,0.0,0.19,2,1,0
50,salaried,high,urban,736,0.16,7,0,1323974,205945,0.16,4,0.23,2.1,0,1,0,0,0.92,0.23,17,67.3,0.0,1,1,0
58,student,high,rural,737,0.46,7,0,1450638,256516,0.18,2,0.18,0.5,0,4,0,0,0.96,0.13,1,56.9,0.51,0,1,0
22,student,medium,urban,749,0.59,5,1,682431,5000,0.01,3,0.16,1.3,0,1,0,0,0.78,0.04,0,0.0,0.46,1,0,0
41,business,medium,rural,683,0.21,3,1,879269,236058,0.27,2,0.43,0.0,2,2,0,0,0.59,0.46,23,25.5,0.25,1,0,0
53,salaried,high,urban,734,0.3,4,1,2122608,126656,0.06,0,0.09,0.7,0,1,0,0,0.98,0.51,23,0.0,0.23,0,0,0
32,salaried,medium,rural,691,0.45,7,1,716392,5000,0.01,2,0.04,0.6,1,1,0,0,0.62,0.47,20,6.5,0.3,2,0,0
