age,occupation_type,income_range,urban_or_rural,credit_score,debt_to_income_ratio,premium_payment_delay_days,policy_lapse_count,annual_income,claim_amount,claim_amount_vs_income_ratio,total_previous_claims,high_value_claim_ratio,claim_frequency_last_3yrs,previous_claim_rejection_count,multi_policy_count,legal_dispute_count,previous_fraud_flag,identity_verification_score,document_mismatch_score,claim_submission_hour,geo_distance_from_registered_address,device_risk_score,IP_address_change_count,claim_submission_weekend_flag,fraud_label
66,self_employed,high,urban,752,0.12,3,1,1573822,5000,0.0,3,0.37,1.8,2,3,0,0,0.85,0.57,1,45.4,0.01,1,0,0
23,self_employed,medium,rural,780,0.33,3,1,840194,463060,0.55,2,0.26,2.5,1,5,0,0,0.99,0.0,19,1.9,0.5,1,1,0
49,self_employed,medium,rural,753,0.4,3,2,609730,499850,0.82,2,0.13,0.0,1,5,0,1,0.76,0.0,10,0.0,0.77,1,1,0
55,salaried,medium,urban,744,0.55,7,1,574372,315101,0.55,1,0.25,1.6,0,5,2,0,0.83,0.44,19,52.9,0.86,0,0,0
59,self_employed,low,rural,692,0.11,11,2,367172,350328,0.95,2,0.11,1.2,1,2,0,0,0.76,0.04,4,84.2,0.18,0,1,1
38,salaried,low,rural,632,0.21,6,0,381647,309817,0.81,0,0.13,1.9,0,3,0,0,0.74,0.04,21,0.0,0.13,2,0,0
40,business,low,urban,785,0.45,5,0,419452,250969,0.6,4,0.41,1.3,2,5,0,0,0.83,0.15,13,89.9,0.25,1,0,0
63,self_employed,medium,urban,737,0.28,4,1,594363,210526,0.35,4,0.09,0.0,0,5,0,0,0.97,0.1,7,99.4,0.1,1,1,0
43,self_employed,high,rural,667,0.65,4,2,1286899,136679,0.11,2,0.22,1.7,0,5,1,0,0.89,0.2,1,0.0,0.78,3,0,1
54,self_employed,medium,urban,614,0.34,6,0,450000,181722,0.4,0,0.47,2.2,3,3,1,0,0.93,0.24,3,0.0,0.22,2,0,0
53,salaried,medium,rural,542,0.12,3,1,578698,232298,0.4,2,0.34,1.3,2,1,1,0,0.69,0.93,18,120.7,0.31,0,0,0
68,salaried,high,urban,600,0.54,3,2,1460398,377853,0.26,2,0.43,1.6,0,4,0,0,0.8,0.02,15,0.0,0.17,1,1,0
30,salaried,high,urban,611,0.54,4,1,1256154,160062,0.13,4,0.25,0.0,0,1,0,0,0.84,0.08,15,81.9,0.5,2,0,0
53,salaried,medium,urban,683,0.16,4,0,836626,279987,0.33,2,0.29,1.5,1,5,0,0,0.83,0.33,13,0.0,0.56,1,0,0
67,self_employed,medium,rural,583,0.26,6,0,817634,5000,0.01,3,0.3,1.3,1,5,0,0,1.0,0.77,5,0.0,0.44,2,1,0
53,salaried,medium,rural,607,0.23,4,0,771499,156860,0.2,1,0.2,0.9,0,4,0,0,0.82,0.44,18,40.1,0.35,0,1,0
68,salaried,medium,rural,688,0.34,4,2,959838,107412,0.11,5,0.2,0.2,2,1,0,0,0.77,0.18,5,40.1,0.15,1,0,0
