event_id,event_timestamp,insurance_type,region,policy_tier,event_channel,verification_mode,claim_stage,customer_age,annual_income,premium_amount,policy_duration_months,event_amount,historical_event_count,account_tenure_days,event_delay_days,supporting_doc_count,external_reference_score,geo_risk_index,behavioral_score,payment_irregularity_count,prior_escalations,digital_activity_score,asset_value_estimate,coverage_utilization_ratio,co_participant_count,network_trust_score,anomaly_indicator,historical_avg_amount,amount_deviation_ratio,response_latency_seconds,device_switch_count,profile_update_frequency,third_party_involvement,investigation_flag,sentiment_score,document_complexity_score,fraud_outcome,fraud_probability_percent
1,01-02-2025 00:05,life,west,premium,web,auto,investigating,65,1438212,54689,73,325603,4,2808,8,7,0.53,0.8,33.1,0,1,69,160271,0.73,0,0.4,0,56317,5.78,291,0,0,1,0,0.05,0.78,1,59
2,01-02-2025 00:12,home,north,basic,branch,manual,submitted,66,1816272,69886,37,195693,3,1502,61,7,0.31,0.56,27.6,0,0,65.9,458475,0.74,1,0.51,1,144157,1.36,131,1,1,0,0,-0.12,0.8,0,65
3,01-02-2025 00:32,warranty,north,premium,web,auto,investigating,21,1744814,50710,26,235589,1,1870,,8,0.87,0.21,44.8,1,1,13.4,648582,1.14,2,0.5,0,24581,9.58,101,0,0,0,0,0.59,0.57,1,72
4,01-02-2025 00:42,health,south,basic,mobile_app,manual,rejected,58,947426,70979,112,361854,1,1288,17,5,0.04,0.8,27.7,0,1,22.5,294187,1,3,0.47,1,11947,30.29,248,1,0,0,1,-0.57,0.83,1,77
5,01-02-2025 00:49,agriculture,central,premium,mobile_app,auto,investigating,36,1609599,32024,11,422707,3,1682,14,9,0.78,0.79,3.4,0,2,24.4,439680,1.37,2,0.67,1,43392,9.74,267,2,0,0,0,0.62,0.14,1,64
6,01-02-2025 01:03,business,north,premium,web,hybrid,submitted,25,1460273,64535,6,111586,3,1024,48,5,0.33,0.57,94.1,1,0,80.6,476350,0.44,0,0.78,1,96754,1.15,177,2,0,0,0,-0.57,0.39,0,8
7,01-02-2025 01:19,warranty,east,standard,branch,manual,approved,45,761759,37381,119,87373,1,1642,16,1,0.16,0.25,35.5,0,0,88.1,963592,0.77,0,0.48,0,131691,0.66,275,2,0,0,0,0.08,0.56,0,42
8,01-02-2025 01:26,home,north,premium,agent,hybrid,rejected,72,1563012,62582,108,458205,2,1049,55,0,0.97,0.86,42.5,1,2,74.7,228851,1.23,0,0.38,0,61460,7.46,34,0,1,0,0,0.87,0.71,1,56
9,01-02-2025 01:43,agriculture,central,basic,web,hybrid,rejected,37,937110,30010,105,82574,1,749,74,2,0.26,0.78,42.1,2,0,36.4,681121,1.35,1,0.54,1,19099,4.32,212,1,0,1,0,0.79,0.64,1,90
10,01-02-2025 01:53,life,west,standard,web,hybrid,submitted,63,1917058,77732,59,118623,2,322,40,2,0.43,0.24,61.7,0,0,86.9,249315,0.52,1,0.35,1,185880,0.64,268,0,1,1,0,0.38,0.34,0,2
11,01-02-2025 02:05,business,east,premium,branch,hybrid,rejected,25,1474090,57026,118,237586,0,1896,72,4,0.05,0.86,9.1,0,0,28.3,619578,1.37,2,0.55,0,277716,0.86,1,0,0,1,0,0.22,0.46,1,75
12,01-02-2025 02:13,agriculture,west,premium,web,auto,approved,40,1943959,47460,17,470152,1,1986,66,7,0.46,0.24,40.1,0,0,43.8,95301,0.77,2,0.48,0,164444,2.86,173,0,1,1,0,-0.16,0.61,0,29
13,01-02-2025 02:31,agriculture,west,premium,agent,auto,rejected,30,1416321,19937,58,447233,2,1430,37,9,0.11,0.77,91.4,0,0,34.1,772470,0.75,0,0.58,0,42566,10.51,259,1,1,0,0,0.62,0.73,1,100
